FID;gid;wpl_id;gem_id;prov_id;pc6;woonplaats;wplnaam_un;gemeente;provincie;vlakken
12969;440939;1070;0014;20;9713LK;Groningen;Groningen;Groningen;Groningen;2
12970;440940;1070;0014;20;9713LL;Groningen;Groningen;Groningen;Groningen;2
12971;440941;1070;0014;20;9713LM;Groningen;Groningen;Groningen;Groningen;1
12972;440942;1070;0014;20;9713LN;Groningen;Groningen;Groningen;Groningen;2
12973;440943;1070;0014;20;9713LP;Groningen;Groningen;Groningen;Groningen;1
12974;440944;1070;0014;20;9713LR;Groningen;Groningen;Groningen;Groningen;1
12975;440945;1070;0014;20;9713LS;Groningen;Groningen;Groningen;Groningen;2
12976;440946;1070;0014;20;9713LT;Groningen;Groningen;Groningen;Groningen;3
12977;440947;1070;0014;20;9713LV;Groningen;Groningen;Groningen;Groningen;3
12978;440948;1070;0014;20;9713LW;Groningen;Groningen;Groningen;Groningen;3
12979;440949;1070;0014;20;9713LX;Groningen;Groningen;Groningen;Groningen;2
12980;440950;1070;0014;20;9713LZ;Groningen;Groningen;Groningen;Groningen;1
12981;440951;1070;0014;20;9713MA;Groningen;Groningen;Groningen;Groningen;1
12982;440952;1070;0014;20;9713MB;Groningen;Groningen;Groningen;Groningen;1
12983;440953;1070;0014;20;9713MC;Groningen;Groningen;Groningen;Groningen;1
12984;440954;1070;0014;20;9713MD;Groningen;Groningen;Groningen;Groningen;1
12985;440955;1070;0014;20;9713ME;Groningen;Groningen;Groningen;Groningen;1
12986;440956;1070;0014;20;9713MG;Groningen;Groningen;Groningen;Groningen;1
12987;440957;1070;0014;20;9713MH;Groningen;Groningen;Groningen;Groningen;1
12988;440958;1070;0014;20;9713MJ;Groningen;Groningen;Groningen;Groningen;1
12989;440959;1070;0014;20;9713MK;Groningen;Groningen;Groningen;Groningen;1
12990;440960;1070;0014;20;9713ML;Groningen;Groningen;Groningen;Groningen;1
12991;440961;1070;0014;20;9713MN;Groningen;Groningen;Groningen;Groningen;1
12992;440962;1070;0014;20;9713MP;Groningen;Groningen;Groningen;Groningen;1
12993;440963;1070;0014;20;9713MR;Groningen;Groningen;Groningen;Groningen;1
12994;440964;1070;0014;20;9713MS;Groningen;Groningen;Groningen;Groningen;1
12995;440965;1070;0014;20;9713MT;Groningen;Groningen;Groningen;Groningen;1
12996;440966;1070;0014;20;9713NA;Groningen;Groningen;Groningen;Groningen;1
12998;440967;1070;0014;20;9713NB;Groningen;Groningen;Groningen;Groningen;2
12999;440968;1070;0014;20;9713NC;Groningen;Groningen;Groningen;Groningen;1
13000;440969;1070;0014;20;9713ND;Groningen;Groningen;Groningen;Groningen;1
13001;440970;1070;0014;20;9713NE;Groningen;Groningen;Groningen;Groningen;1
13002;440971;1070;0014;20;9713NG;Groningen;Groningen;Groningen;Groningen;1
13003;440972;1070;0014;20;9713NH;Groningen;Groningen;Groningen;Groningen;1
13004;440980;1070;0014;20;9713NV;Groningen;Groningen;Groningen;Groningen;1
13005;440973;1070;0014;20;9713NJ;Groningen;Groningen;Groningen;Groningen;1
13006;440974;1070;0014;20;9713NM;Groningen;Groningen;Groningen;Groningen;1
13007;440975;1070;0014;20;9713NN;Groningen;Groningen;Groningen;Groningen;1
13008;440976;1070;0014;20;9713NP;Groningen;Groningen;Groningen;Groningen;1
13009;440977;1070;0014;20;9713NR;Groningen;Groningen;Groningen;Groningen;1
13010;440978;1070;0014;20;9713NS;Groningen;Groningen;Groningen;Groningen;2
13011;440979;1070;0014;20;9713NT;Groningen;Groningen;Groningen;Groningen;3
13012;441009;1070;0014;20;9713RJ;Groningen;Groningen;Groningen;Groningen;1
13013;440981;1070;0014;20;9713NW;Groningen;Groningen;Groningen;Groningen;1
13014;440982;1070;0014;20;9713NX;Groningen;Groningen;Groningen;Groningen;1
13015;440983;1070;0014;20;9713PA;Groningen;Groningen;Groningen;Groningen;3
13016;440984;1070;0014;20;9713PB;Groningen;Groningen;Groningen;Groningen;1
13017;440985;1070;0014;20;9713PC;Groningen;Groningen;Groningen;Groningen;1
13018;440986;1070;0014;20;9713PD;Groningen;Groningen;Groningen;Groningen;2
13019;440994;1070;0014;20;9713PN;Groningen;Groningen;Groningen;Groningen;2
13020;440987;1070;0014;20;9713PE;Groningen;Groningen;Groningen;Groningen;2
13021;440988;1070;0014;20;9713PG;Groningen;Groningen;Groningen;Groningen;3
13022;440989;1070;0014;20;9713PH;Groningen;Groningen;Groningen;Groningen;1
13023;440990;1070;0014;20;9713PJ;Groningen;Groningen;Groningen;Groningen;1
13024;440991;1070;0014;20;9713PK;Groningen;Groningen;Groningen;Groningen;1
13025;440992;1070;0014;20;9713PL;Groningen;Groningen;Groningen;Groningen;1
13026;440993;1070;0014;20;9713PM;Groningen;Groningen;Groningen;Groningen;1
13027;441007;1070;0014;20;9713RG;Groningen;Groningen;Groningen;Groningen;1
13028;440995;1070;0014;20;9713PP;Groningen;Groningen;Groningen;Groningen;1
13029;440996;1070;0014;20;9713PR;Groningen;Groningen;Groningen;Groningen;1
13030;440997;1070;0014;20;9713PS;Groningen;Groningen;Groningen;Groningen;1
13031;440998;1070;0014;20;9713PT;Groningen;Groningen;Groningen;Groningen;1
13032;440999;1070;0014;20;9713PV;Groningen;Groningen;Groningen;Groningen;1
13033;441000;1070;0014;20;9713PW;Groningen;Groningen;Groningen;Groningen;1
13034;441001;1070;0014;20;9713PX;Groningen;Groningen;Groningen;Groningen;1
13035;441002;1070;0014;20;9713RA;Groningen;Groningen;Groningen;Groningen;1
13036;441003;1070;0014;20;9713RB;Groningen;Groningen;Groningen;Groningen;1
13037;441004;1070;0014;20;9713RC;Groningen;Groningen;Groningen;Groningen;1
13038;441005;1070;0014;20;9713RD;Groningen;Groningen;Groningen;Groningen;1
13039;441006;1070;0014;20;9713RE;Groningen;Groningen;Groningen;Groningen;1
13040;441010;1070;0014;20;9713RK;Groningen;Groningen;Groningen;Groningen;2
13041;441011;1070;0014;20;9713RL;Groningen;Groningen;Groningen;Groningen;1
13042;441012;1070;0014;20;9713RM;Groningen;Groningen;Groningen;Groningen;1
13043;441013;1070;0014;20;9713RN;Groningen;Groningen;Groningen;Groningen;1
13044;441014;1070;0014;20;9713RP;Groningen;Groningen;Groningen;Groningen;1
13045;441015;1070;0014;20;9713RR;Groningen;Groningen;Groningen;Groningen;2
13046;441016;1070;0014;20;9713RS;Groningen;Groningen;Groningen;Groningen;1
13047;441017;1070;0014;20;9713RT;Groningen;Groningen;Groningen;Groningen;2
13048;441018;1070;0014;20;9713RV;Groningen;Groningen;Groningen;Groningen;1
13049;441019;1070;0014;20;9713RW;Groningen;Groningen;Groningen;Groningen;2
13050;441020;1070;0014;20;9713SB;Groningen;Groningen;Groningen;Groningen;1
13051;441021;1070;0014;20;9713SC;Groningen;Groningen;Groningen;Groningen;1
13052;441022;1070;0014;20;9713SE;Groningen;Groningen;Groningen;Groningen;1
13053;441023;1070;0014;20;9713SG;Groningen;Groningen;Groningen;Groningen;1
13054;441024;1070;0014;20;9713SH;Groningen;Groningen;Groningen;Groningen;2
13055;441025;1070;0014;20;9713SJ;Groningen;Groningen;Groningen;Groningen;2
13056;441026;1070;0014;20;9713SK;Groningen;Groningen;Groningen;Groningen;2
13057;441027;1070;0014;20;9713SL;Groningen;Groningen;Groningen;Groningen;1
13058;441028;1070;0014;20;9713SM;Groningen;Groningen;Groningen;Groningen;1
13059;441029;1070;0014;20;9713SN;Groningen;Groningen;Groningen;Groningen;1
13060;441030;1070;0014;20;9713SP;Groningen;Groningen;Groningen;Groningen;2
13061;441031;1070;0014;20;9713SR;Groningen;Groningen;Groningen;Groningen;1
13062;441032;1070;0014;20;9713ST;Groningen;Groningen;Groningen;Groningen;1
13063;441033;1070;0014;20;9713SV;Groningen;Groningen;Groningen;Groningen;1
13064;441034;1070;0014;20;9713SW;Groningen;Groningen;Groningen;Groningen;1
13065;441035;1070;0014;20;9713SX;Groningen;Groningen;Groningen;Groningen;1
13066;441036;1070;0014;20;9713SZ;Groningen;Groningen;Groningen;Groningen;1
13067;441037;1070;0014;20;9713TA;Groningen;Groningen;Groningen;Groningen;1
13068;441038;1070;0014;20;9713TB;Groningen;Groningen;Groningen;Groningen;1
13069;441039;1070;0014;20;9713TC;Groningen;Groningen;Groningen;Groningen;1
13070;441040;1070;0014;20;9713TD;Groningen;Groningen;Groningen;Groningen;1
13071;441041;1070;0014;20;9713TE;Groningen;Groningen;Groningen;Groningen;1
13073;441048;1070;0014;20;9713TN;Groningen;Groningen;Groningen;Groningen;1
13074;441049;1070;0014;20;9713TP;Groningen;Groningen;Groningen;Groningen;1
13075;441050;1070;0014;20;9713TR;Groningen;Groningen;Groningen;Groningen;1
13076;441051;1070;0014;20;9713TS;Groningen;Groningen;Groningen;Groningen;1
13077;441052;1070;0014;20;9713TT;Groningen;Groningen;Groningen;Groningen;1
13078;441053;1070;0014;20;9713TW;Groningen;Groningen;Groningen;Groningen;1
13079;441054;1070;0014;20;9713TX;Groningen;Groningen;Groningen;Groningen;1
13080;441055;1070;0014;20;9713TZ;Groningen;Groningen;Groningen;Groningen;1
13081;441056;1070;0014;20;9713VA;Groningen;Groningen;Groningen;Groningen;3
13082;441057;1070;0014;20;9713VB;Groningen;Groningen;Groningen;Groningen;1
13084;441058;1070;0014;20;9713VC;Groningen;Groningen;Groningen;Groningen;3
13085;441059;1070;0014;20;9713VD;Groningen;Groningen;Groningen;Groningen;3
13086;441060;1070;0014;20;9713VE;Groningen;Groningen;Groningen;Groningen;2
13087;441061;1070;0014;20;9713VG;Groningen;Groningen;Groningen;Groningen;1
13088;441062;1070;0014;20;9713VH;Groningen;Groningen;Groningen;Groningen;1
13089;441063;1070;0014;20;9713VJ;Groningen;Groningen;Groningen;Groningen;1
13090;441064;1070;0014;20;9713VK;Groningen;Groningen;Groningen;Groningen;2
13091;441065;1070;0014;20;9713VL;Groningen;Groningen;Groningen;Groningen;1
13092;441066;1070;0014;20;9713VM;Groningen;Groningen;Groningen;Groningen;1
13093;441067;1070;0014;20;9713VN;Groningen;Groningen;Groningen;Groningen;2
13094;441068;1070;0014;20;9713VP;Groningen;Groningen;Groningen;Groningen;1
13095;441069;1070;0014;20;9713VR;Groningen;Groningen;Groningen;Groningen;1
13096;441070;1070;0014;20;9713VS;Groningen;Groningen;Groningen;Groningen;1
13097;441071;1070;0014;20;9713VT;Groningen;Groningen;Groningen;Groningen;1
13098;441072;1070;0014;20;9713VV;Groningen;Groningen;Groningen;Groningen;1
13099;441073;1070;0014;20;9713VX;Groningen;Groningen;Groningen;Groningen;1
13100;441074;1070;0014;20;9713VZ;Groningen;Groningen;Groningen;Groningen;1
13101;441075;1070;0014;20;9713WC;Groningen;Groningen;Groningen;Groningen;1
13102;441076;1070;0014;20;9713WD;Groningen;Groningen;Groningen;Groningen;1
13103;441077;1070;0014;20;9713WE;Groningen;Groningen;Groningen;Groningen;2
13104;441078;1070;0014;20;9713WJ;Groningen;Groningen;Groningen;Groningen;1
13105;441079;1070;0014;20;9713WK;Groningen;Groningen;Groningen;Groningen;1
13107;441080;1070;0014;20;9713WL;Groningen;Groningen;Groningen;Groningen;1
13113;441086;1070;0014;20;9713XA;Groningen;Groningen;Groningen;Groningen;1
13114;441087;1070;0014;20;9713XB;Groningen;Groningen;Groningen;Groningen;1
13115;441088;1070;0014;20;9713XC;Groningen;Groningen;Groningen;Groningen;2
13116;441089;1070;0014;20;9713XD;Groningen;Groningen;Groningen;Groningen;1
13117;441090;1070;0014;20;9713XE;Groningen;Groningen;Groningen;Groningen;1
13118;441091;1070;0014;20;9713XG;Groningen;Groningen;Groningen;Groningen;1
13119;441092;1070;0014;20;9713XH;Groningen;Groningen;Groningen;Groningen;1
13121;441093;1070;0014;20;9713XJ;Groningen;Groningen;Groningen;Groningen;1
13122;441094;1070;0014;20;9713XK;Groningen;Groningen;Groningen;Groningen;1
13123;441095;1070;0014;20;9713XL;Groningen;Groningen;Groningen;Groningen;1
13124;441096;1070;0014;20;9713XN;Groningen;Groningen;Groningen;Groningen;1
13125;441097;1070;0014;20;9713XP;Groningen;Groningen;Groningen;Groningen;1
13126;441098;1070;0014;20;9713XR;Groningen;Groningen;Groningen;Groningen;1
13127;441099;1070;0014;20;9713XS;Groningen;Groningen;Groningen;Groningen;1
13128;441100;1070;0014;20;9713XT;Groningen;Groningen;Groningen;Groningen;1
13129;441101;1070;0014;20;9713XV;Groningen;Groningen;Groningen;Groningen;2
13130;441102;1070;0014;20;9713XW;Groningen;Groningen;Groningen;Groningen;1
13131;441103;1070;0014;20;9713XX;Groningen;Groningen;Groningen;Groningen;1
13132;441104;1070;0014;20;9713XZ;Groningen;Groningen;Groningen;Groningen;1
13133;441105;1070;0014;20;9713ZC;Groningen;Groningen;Groningen;Groningen;1
13134;441106;1070;0014;20;9713ZD;Groningen;Groningen;Groningen;Groningen;1
